"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.6399541823741268","0.9989383816719055","128.6370809717116","107.44955417329233","0.9980114102363586","149.28035960477942","92.19561281457412","0.995961606502533","115.85801866319446","88.98669757674226","0.8347613215446472","166.6599328533497","110.39389821280422","0.8499847054481506","94.1186683006536","102.13715409810565","0.9889261722564697","197.83203125","205.66252311774062","0.9914330244064331","60.17197951771855","199.17333012133574","0.9303976893424988","235.33014833537584","313.37185209831307","0.9397429823875427","2.3074019188974417","287.45341883296464","0.6266031861305237","208.24785220077615","320.5809574633573","0.8608102202415466","51.52228860294118","278.15182306070244","0.3308856189250946","166.6928200316585","340.74281405558634","0.2372107207775116","80.39924970639298","346.95812664200776","0.07667917758226395","156.90209482230392","338.97745048050336","0.1087164580821991","108.8190056295956","338.89079136131085","0.05159323662519455","100.45477175245098","303.13619157909295","0.05856518819928169","110.95719081903596","318.81514017560846"
"1","0.6300098628682249","0.9989544153213501","128.77439810559642","107.52108683628319","0.998001754283905","149.02428321589053","92.56293372770327","0.9955060482025146","115.83649280024511","89.78870763187916","0.8400781750679016","166.70057508680557","111.45024662524199","0.8551760911941528","94.57966324550654","103.02238801939299","0.9889346957206726","196.20011871936276","216.67346515486727","0.9909874796867371","59.73273383246528","200.1563472241427","0.9113213419914246","236.88430287479576","313.69596498202435","0.9233609437942505","4.6424217473447715","289.86328125","0.5953407883644104","214.4739487591912","322.3298577502766","0.8545342087745667","54.478580250459565","279.56743898644913","0.3089807331562042","167.98904718137257","340.4850404452434","0.20918691158294678","81.41525767207925","347.1700104569967","0.07085839658975601","158.89600566789215","339.7821747096239","0.07666483521461487","112.00111538756128","340.7690645741151","0.0436907634139061","101.48851581648285","302.584703833656","0.04859008640050888","109.08973045598448","317.5197256982854"
"2","0.6374926459701622","0.9988883137702942","128.3401788449755","107.65849695796462","0.9979636669158936","148.82273156658496","92.95489285899475","0.9953278303146362","116.00673700469773","89.46444891195382","0.8437182307243347","166.77263646343954","111.40887775252352","0.856516420841217","94.53659556270425","102.63152265970687","0.9891125559806824","197.77697993259804","205.8586404175885","0.9907178282737732","57.62580821716708","206.7467181450498","0.9256631135940552","235.2291730494281","312.8051001624724","0.9260196089744568","4.1277118757659315","288.3216628353153","0.615362286567688","211.0937180861928","320.80862399751106","0.8535286784172058","93.59676585477942","308.74767742325776","0.35222429037094116","167.1353847528595","340.8299592954923","0.23669323325157166","81.3934366064134","346.0947114387445","0.07796165347099304","158.24624055351308","339.66544092228986","0.07813529670238495","111.8179780050041","340.0113644220133","0.04569372907280922","100.63712724673204","302.88337640002766","0.05384824424982071","90.85532194648694","302.36763473105646"
"3","0.627155688317383","0.99896240234375","128.27561721303104","107.63874425297291","0.9979822039604187","148.56000114889707","92.84635020568308","0.9953339695930481","115.30298968545752","89.37568326966954","0.8439491391181946","166.17506638071896","111.43138514155837","0.858891487121582","94.7119300194036","103.18273493673951","0.9891372919082642","196.10653147977942","217.62052552889935","0.9907764792442322","59.18634551802492","205.76671499066651","0.9227186441421509","235.38218379799838","312.471653761062","0.9089769124984741","3.2524118859783497","289.52095504355646","0.46689966320991516","139.74566291360296","299.2962268390487","0.8313696384429932","58.392290102890115","279.71622433282636","0.3356667160987854","168.201353783701","340.2103822421184","0.23867057263851166","83.0087380004085","348.1731367533186","0.08032384514808655","155.44061797896242","338.66422670077435","0.0904427021741867","105.96350975285948","338.35038716814165","0.05202312767505646","156.18243847017976","328.4723170457688","0.059521906077861786","88.65378784977533","302.07764752143254"
"4","0.6449171429609551","0.9989653825759888","128.62054164113562","107.81216781751246","0.9980078339576721","149.04218686172388","92.99372580199116","0.9954082369804382","116.79546281403186","89.46055994624587","0.8400372862815857","166.4889705882353","111.56805798015765","0.8585585355758667","94.29006140216504","103.47973848866151","0.9897162318229675","196.39361213235296","216.51071193998897","0.9913314580917358","59.36076644199347","205.45913021121407","0.9166129231452942","236.57698886846407","312.6840236967644","0.9332939982414246","5.828927233328227","289.43306441855646","0.6271082758903503","210.21717345792484","319.5635392180587","0.8582536578178406","58.37783713745915","282.14893442339604","0.3406819701194763","167.56248723447715","339.14840293141594","0.279558926820755","74.75602692248775","342.85205942339604","0.08943579345941544","154.33162913602942","337.52284767353433","0.12771408259868622","103.35279277726717","334.9143239249171","0.05824302136898041","155.38922079248366","328.81094873478986","0.06066381558775902","106.78543390012256","319.17243890002766"
"5","0.6471823957913062","0.9989407658576965","128.30881555095996","108.22751745713497","0.9981014132499695","148.39578865400327","93.22846539252627","0.9953612685203552","115.9527867136438","89.92837011286643","0.8454188108444214","166.4346532883987","111.83337456357164","0.8549866676330566","94.55958148233252","103.24561465103015","0.9900588393211365","196.0232843137255","216.6370385094027","0.9923593401908875","60.532832924836605","205.26239715846242","0.9296679496765137","235.34106285743465","311.6455402205476","0.9194737076759338","5.779570037243413","290.11282321626106","0.6417146921157837","208.37477341196896","317.7303131913717","0.86847323179245","64.62344499974469","284.5318009368087","0.3757160007953644","178.0065678615196","338.9561908012998","0.29618528485298157","75.78509561376634","341.5222600076051","0.08435022830963135","156.41007965686276","337.8619006671737","0.08485337346792221","115.56036656198938","338.77075195312506","0.062143199145793915","155.32753140318627","328.3710743051715","0.06429595500230789","92.73553187551063","314.93213754839604"
"6","0.6325102172353688","0.9989041090011597","128.49724264705884","108.55899506965571","0.9980650544166565","148.83686938316995","93.1852735671322","0.9953097701072693","116.70255374285131","89.51260727063745","0.8520554900169373","166.89561631944446","112.20623725283464","0.8593338131904602","94.62022569444444","103.03025507293972","0.989913284778595","196.41469120200165","217.65301459658465","0.9901876449584961","58.869509229473046","206.81372178339328","0.9325343370437622","235.68285973243465","312.6826625587666","0.8860813975334167","2.8164044548483456","293.7985256498894","0.6301515698432922","207.5918958078023","318.22353126728433","0.829609751701355","70.05895278033088","294.71768269496687","0.3322864770889282","175.2719535079657","341.0051572006361","0.22928373515605927","84.01294583588644","348.40952105226773","0.0630638375878334","156.70138888888889","337.9349159983407","0.0676291212439537","104.3786700878268","338.3430953574392","0.044615305960178375","21.38453265420752","259.0188085505393","0.053648993372917175","20.566517948325163","261.49484820070523"
"7","0.6388818071607281","0.998951256275177","128.0200674019608","108.60016139207688","0.9981751441955566","148.00184461805557","93.67999861725664","0.9951794147491455","115.47292273029004","90.47603370869055","0.8455939888954163","165.94104243259804","112.1131856462597","0.8692424893379211","94.35439963745915","104.10830067322318","0.9901736974716187","195.95423879187092","217.2886833258435","0.9905807375907898","59.59593928717321","207.13185538232855","0.9341902732849121","235.19366893892976","312.95654296875","0.9100102782249451","1.5134514702690973","291.28884644634957","0.6197717189788818","208.6874808517157","319.65006870506085","0.8266751766204834","56.410027796926066","287.6159127834624","0.3513350486755371","164.02812882965688","340.595681519635","0.29188746213912964","83.5516397314134","344.76682409776","0.06407184153795242","158.01950891033496","338.35103532909295","0.061996087431907654","106.86974220026553","338.49878361794805","0.05071023851633072","20.31289892258987","260.7276686946903","0.06244586780667305","89.93612451491013","315.0042778622788"
"8","0.6417869638432475","0.9989076852798462","127.53279941533906","108.75200119693723","0.9980655312538147","148.07548572814542","93.88054771760925","0.995093822479248","115.31143088745915","91.0684690222276","0.8455939292907715","166.07058057598042","112.93361157442617","0.8678473234176636","94.33264239940769","104.36882896760925","0.9898563623428345","196.76127514808007","217.57379312430865","0.9908483028411865","59.89970687168097","207.34030394427546","0.9117584228515625","222.221169066585","305.01161288371134","0.9097790718078613","6.879059536005157","292.98375492602327","0.5850362777709961","210.13207529105392","318.84975197040933","0.8322601914405823","58.947965335222634","286.9556312223452","0.35141226649284363","165.73770361008988","340.48520248548124","0.3595675826072693","87.84474890216504","344.1216122787611","0.07441321015357971","157.25721571180557","337.4136649612832","0.06832894682884216","107.68897760927288","337.8400252350664","0.055770393460989","151.74815857332518","328.1558524612832","0.07583906501531601","90.57363472732844","314.3045881153208"
"9","0.6372411693720257","0.9988904595375061","126.82907603145425","109.05103835384404","0.9981476068496704","147.85987604677288","94.42917545284845","0.9951221346855164","114.96518203635621","90.91114415531666","0.8597897887229919","165.82659952001634","112.65255278190682","0.8606007695198059","94.1275483175041","104.92828909274752","0.989513099193573","197.19045202716504","217.1612872908601","0.9904370903968811","60.52601533777574","207.9961780109237","0.9063702821731567","223.6978528390523","304.3006451362003","0.9169014692306519","8.54655646031199","292.48642102806974","0.6112188100814819","200.64622268178107","316.55801688675336","0.8381749391555786","78.20920458026961","297.51216382051996","0.3958562910556793","161.78369459763073","341.0204537990874","0.26652905344963074","88.47821403952206","347.3615096100664","0.060716286301612854","157.92408662683823","339.44960332549783","0.05495965853333473","127.56213618259805","341.05558412264935","0.04095952957868576","149.33440563725492","326.9969082722622","0.04891261085867882","92.17333026960785","315.5409875380255"
